district,other,american_indian,pacific_islander,white,total,two_or_more,black,asian,other_pct,american_indian_pct,pacific_islander_pct,white_pct,two_or_more_pct,black_pct,asian_pct
01,19100,1934,208,477362,549859,7825,25041,18389,3.474,0.352,0.038,86.815,1.423,4.554,3.344
02,35489,1749,136,430653,545529,11228,50219,16055,6.505,0.321,0.025,78.942,2.058,9.206,2.943
03,16157,880,130,439366,553165,9365,16997,70270,2.921,0.159,0.024,79.428,1.693,3.073,12.703
04,37767,1323,144,392824,551361,11559,77816,29928,6.85,0.24,0.026,71.246,2.096,14.113,5.428
05,57847,4172,535,108435,545319,29252,282248,62830,10.608,0.765,0.098,19.885,5.364,51.758,11.522
06,36797,1503,297,287494,585332,15982,24179,219080,6.287,0.257,0.051,49.116,2.73,4.131,37.428
07,103934,4781,387,246749,545167,23134,59494,106688,19.065,0.877,0.071,45.261,4.243,10.913,19.57
08,37501,2878,251,169538,550334,15647,298950,25569,6.814,0.523,0.046,30.806,2.843,54.322,4.646
09,22275,1975,197,186179,551703,13571,295035,32471,4.037,0.358,0.036,33.746,2.46,53.477,5.886
10,24819,1373,286,416495,581760,13642,26992,98153,4.266,0.236,0.049,71.592,2.345,4.64,16.872
11,28893,1671,243,412664,557487,10716,39321,63979,5.183,0.3,0.044,74.022,1.922,7.053,11.476
12,26213,1590,307,480187,636020,15697,31906,80120,4.121,0.25,0.048,75.499,2.468,5.017,12.597
13,144295,6459,409,165452,556609,32225,183351,24418,25.924,1.16,0.073,29.725,5.79,32.941,4.387
14,115254,4625,296,265835,568681,24836,67000,90835,20.267,0.813,0.052,46.746,4.367,11.782,15.973
15,154928,7965,616,114244,504966,30687,186242,10284,30.681,1.577,0.122,22.624,6.077,36.882,2.037
16,45453,2746,264,280502,547001,15456,177101,25479,8.309,0.502,0.048,51.28,2.826,32.377,4.658
17,38383,1731,212,393944,535962,12211,57197,32284,7.162,0.323,0.04,73.502,2.278,10.672,6.024
18,24265,1925,178,435153,534792,10246,47702,15323,4.537,0.36,0.033,81.369,1.916,8.92,2.865
19,9206,1558,158,517613,568369,7542,24719,7573,1.62,0.274,0.028,91.07,1.327,4.349,1.332
20,9781,1336,205,478497,565506,9757,46068,19862,1.73,0.236,0.036,84.614,1.725,8.146,3.512
21,3911,4797,297,523574,559939,5465,17450,4445,0.698,0.857,0.053,93.506,0.976,3.116,0.794
22,4383,1716,144,518144,562508,6488,19876,11757,0.779,0.305,0.026,92.113,1.153,3.533,2.09
23,4662,3172,142,520721,562496,6705,15529,11565,0.829,0.564,0.025,92.573,1.192,2.761,2.056
24,5219,3608,164,485450,553666,7611,39490,12124,0.943,0.652,0.03,87.679,1.375,7.132,2.19
25,12509,1573,157,437507,555528,8929,76275,18578,2.252,0.283,0.028,78.755,1.607,13.73,3.344
26,8434,3077,145,437113,565576,7662,92238,16907,1.491,0.544,0.026,77.286,1.355,16.309,2.989
27,3014,3993,98,528348,558538,4034,14333,4718,0.54,0.715,0.018,94.595,0.722,2.566,0.845
